,iata,iso,name,continent,type,lat,lon,size,status
3088,CVU,PT,Corvo Airport,EU,airport,39.7,-31.1,small,1
3089,COV,PT,Covilha Airport,EU,airport,40.283333,-7.5,medium,1
3090,FLW,PT,Flores Airport,EU,airport,39.466667,-31.15,medium,1
3091,FAO,PT,Faro Airport,EU,airport,37.020645,-7.968545,large,1
3092,GRW,PT,Graciosa Airport,EU,airport,39.090954,-28.027958,medium,1
3093,HOR,PT,Horta Airport,EU,airport,38.52,-28.717222,medium,1
3094,TER,PT,Lajes Field,EU,airport,38.754074,-27.08757,large,1
3095,FNC,PT,Madeira Airport,EU,airport,32.693123,-16.775635,medium,1
3096,PAF,PT,Montijo Airport,EU,airport,2.203072,31.554146,medium,1
3097,PDL,PT,,EU,airport,37.743847,-25.696468,large,1
3098,PIX,PT,Pico Airport,EU,airport,38.466667,-28.3,medium,1
3099,PRM,PT,Portimao Airport,EU,airport,37.13333,-8.533333,medium,1
3100,OPO,PT,,EU,airport,41.237774,-8.670272,large,1
3101,PXO,PT,Porto Santo Airport,EU,airport,33.070023,-16.345015,medium,1
3102,LIS,PT,Lisbon Portela Airport,EU,airport,38.770042,-9.128165,large,1
3103,SIE,PT,Sines Airport,EU,airport,37.933334,-8.85,small,1
3104,SJZ,PT,,EU,airport,38.664616,-28.16843,medium,1
3105,VRL,PT,Vila Real Airport,EU,airport,41.3,-7.75,medium,1
3106,VSE,PT,Viseu Airport,EU,airport,40.65,-7.916667,medium,1
3107,BNX,BA,Banja Luka International Airport,EU,airport,44.933334,17.3,medium,1
3108,OMO,BA,Mostar International Airport,EU,airport,43.285557,17.846666,medium,1
3109,SJJ,BA,Sarajevo International Airport,EU,airport,43.826687,18.336065,large,1
3110,TZL,BA,Tuzla International Airport,EU,airport,44.40972,18.709167,medium,1
3111,ARW,RO,Arad International Airport,EU,airport,46.183334,21.266666,medium,1
3112,BCM,RO,Bac?u Airport,EU,airport,46.59861,26.881945,medium,1
3113,BAY,RO,Tautii Magheraus Airport,EU,airport,47.65,23.466667,medium,1
